iter	RMSE
0	7012.675094
1	6386.132437
2	5820.219898
3	5310.593324
4	4851.473895
5	4432.502597
6	4058.997058
7	3720.671354
8	3414.437854
9	3134.850124
10	2888.318308
11	2665.333987
12	2462.678814
13	2283.346492
14	2123.446134
15	1976.701375
16	1847.761808
17	1731.94773
18	1629.082698
19	1537.924718
20	1456.24119
21	1384.033717
22	1319.426476
23	1261.747574
24	1209.827103
25	1165.068256
26	1124.513291
27	1088.476659
28	1056.011477
29	1027.282129
30	1002.669967
31	980.0140613
32	957.8632969
33	939.5097201
34	923.6142996
35	908.4670771
36	894.6511757
37	882.4084523
38	870.8678276
39	860.0479221
40	850.8928776
41	841.8806354
42	832.6347801
43	824.576826
44	816.851941
45	809.9181278
46	804.1176372
47	797.2543806
48	791.4699322
49	784.9946491
50	779.0822348
51	774.5399789
52	769.2954462
53	765.5555917
54	760.7669139
55	756.8777045
56	753.8564479
57	749.5015117
58	745.61374
59	742.4687498
60	738.7859629
61	736.0814096
62	732.6059576
63	729.8893205
64	725.9486998
65	723.1787983
66	720.9377803
67	718.8444351
68	715.9743098
69	714.4339327
70	710.8021898
71	708.7937586
72	706.0777879
73	702.2375195
74	700.1985921
75	697.9054152
76	696.4360713
77	693.9539315
78	692.9875708
79	690.1746859
80	688.6210231
81	686.9750495
82	684.1592671
83	682.77778
84	681.3110191
85	679.8255236
86	678.3893043
87	676.928863
88	675.083839
89	672.4526534
90	671.3833268
91	670.5168173
92	668.0930972
93	665.9346801
94	664.9491275
95	663.0156355
96	661.3716667
97	659.3696266
98	658.2851934
99	657.2264282
100	656.2707875
101	654.1294811
102	652.7280532
103	651.0801194
104	650.3110471
105	648.3342821
106	646.5301748
107	644.9472257
108	643.4625945
109	642.1635558
110	640.6504947
111	639.3794305
112	637.9179033
113	636.1621712
114	635.4882503
115	634.8821799
116	633.812061
117	632.4857765
118	630.6469598
119	629.2750331
120	627.757387
121	627.0324541
122	626.3307414
123	625.9674024
124	624.5957934
125	623.4838762
126	622.9230558
127	621.4918738
128	620.5134234
129	619.2915085
130	617.8647387
131	616.3511077
132	615.8565543
133	614.7020589
134	614.1531024
135	612.897022
136	611.6324555
137	610.3188965
138	609.276975
139	608.9182787
140	608.3253499
141	607.7957654
142	606.8889688
143	605.779337
144	605.0413903
145	604.7521685
146	603.7384449
147	602.6755477
148	601.5150895
149	600.5828633
150	599.5395907
151	598.4513817
152	597.3271633
153	596.1635647
154	595.2157769
155	594.403238
156	593.4928154
157	592.4300939
158	591.4888755
159	590.9093164
160	589.9714105
161	589.0481073
162	588.0930441
163	587.2050799
164	586.3508207
165	586.0178204
166	585.1201729
167	584.2503102
168	583.9075965
169	583.0717528
170	582.2614261
171	581.536611
172	580.7354674
173	579.9472619
174	579.5476766
175	579.290072
176	578.5182754
177	577.7223229
178	576.9496841
179	576.1602731
180	575.4201755
181	574.6559668
182	574.0851033
183	573.3193343
184	572.6052545
185	571.867868
186	571.5644943
187	570.9276588
188	570.2203622
189	569.4694078
190	568.7645091
191	568.3148252
192	567.7217443
193	567.0372774
194	566.67157
195	566.0400814
196	565.3629945
197	564.7759216
198	564.0819071
199	563.5262995
200	562.9316795
201	562.2100061
202	561.7175778
203	561.5277442
204	560.957785
205	560.6884892
206	560.1120777
207	559.5314529
208	559.0091655
209	558.390179
210	557.8935845
211	557.3023139
212	556.7668606
213	556.2907682
214	555.8657495
215	555.5392043
216	555.0386824
217	554.5281048
218	553.9665045
219	553.4410585
220	553.2894642
221	552.8360077
222	552.4320893
223	551.9845109
224	551.5068892
225	550.9305899
226	550.7528575
227	550.3512222
228	549.7327849
229	549.6092499
230	549.367872
231	548.8928635
232	548.5106198
233	548.0949037
234	547.5646059
235	547.1757245
236	546.7842147
237	546.2960883
238	546.0165617
239	545.7175827
240	545.5100179
241	545.0976935
242	544.645623
243	544.1821303
244	543.6537918
245	543.2680442
246	542.7984221
247	542.5496421
248	542.1573543
249	541.888387
250	541.3499571
251	540.9431366
252	540.5873721
253	540.2997762
254	540.0564603
255	539.5959826
256	539.1263364
257	538.8127885
258	538.4208928
259	538.1213289
260	537.9694572
261	537.615996
262	537.1257276
263	536.7612528
264	536.4162217
265	536.0419131
266	535.6878641
267	535.4985175
268	535.0373705
269	534.6453087
270	534.4305398
271	534.1192656
272	533.7732101
273	533.3629164
274	533.0299271
275	532.7370976
276	532.4621579
277	532.0859184
278	532.0065469
279	531.7676664
280	531.5306851
281	531.389978
282	530.957721
283	530.6801879
284	530.2873573
285	529.9741726
286	529.6315913
287	529.4308719
288	529.0921631
289	528.7219228
290	528.4685845
291	528.0058089
292	527.8036282
293	527.4426926
294	527.2502548
295	526.9711767
296	526.5468762
297	526.2825017
298	525.9938762
299	525.7921141
300	525.3862186
301	525.2155107
302	524.9136718
303	524.7005244
304	524.5351851
305	524.3357214
306	524.0023272
307	523.6157638
308	523.2629806
309	523.034972
310	522.6217346
311	522.3718503
312	522.158229
313	521.8216114
314	521.6461828
315	521.4201073
316	521.1283873
317	520.7625255
318	520.6109491
319	520.3385119
320	520.1358411
321	519.9319701
322	519.6847092
323	519.3796831
324	519.152323
325	518.8243054
326	518.6524721
327	518.3152216
328	518.0327524
329	517.8918219
330	517.5805231
331	517.4010493
332	517.1301271
333	516.9832057
334	516.7686387
335	516.5266585
336	516.4414372
337	516.3050298
338	516.078753
339	515.8364278
340	515.6379902
341	515.3782817
342	515.2539117
343	515.1368871
344	514.7726457
345	514.5502712
346	514.262234
347	513.9496328
348	513.7176053
349	513.5040563
350	513.3603915
351	513.1076449
352	513.03492
353	512.8463814
