iter	Passed	Remaining
0	19	19082
1	36	18363
2	54	18107
3	70	17668
4	87	17436
5	102	16907
6	116	16563
7	128	15988
8	141	15529
9	153	15174
10	164	14792
11	175	14455
12	186	14182
13	197	13929
14	208	13699
15	218	13464
16	230	13310
17	241	13149
18	251	13009
19	262	12886
20	274	12784
21	285	12681
22	296	12578
23	307	12489
24	317	12386
25	328	12319
26	339	12229
27	350	12157
28	360	12084
29	372	12029
30	382	11961
31	392	11884
32	403	11835
33	414	11781
34	425	11720
35	436	11687
36	447	11641
37	458	11595
38	469	11569
39	479	11519
40	490	11470
41	500	11424
42	511	11391
43	523	11363
44	533	11321
45	544	11285
46	554	11243
47	566	11234
48	576	11188
49	588	11179
50	599	11147
51	609	11104
52	621	11106
53	631	11058
54	640	11008
55	650	10970
56	660	10928
57	670	10893
58	682	10883
59	691	10839
60	702	10818
61	712	10779
62	724	10769
63	736	10765
64	747	10756
65	757	10723
66	767	10685
67	776	10647
68	786	10614
69	797	10589
70	809	10596
71	820	10575
72	832	10577
73	845	10574
74	855	10546
75	866	10533
76	875	10498
77	888	10498
78	898	10469
79	909	10457
80	919	10428
81	929	10403
82	942	10413
83	952	10388
84	961	10355
85	971	10329
86	982	10307
87	991	10278
88	1002	10263
89	1015	10264
90	1024	10235
91	1034	10206
92	1046	10202
93	1057	10193
94	1067	10165
95	1078	10158
96	1089	10141
97	1102	10143
98	1112	10124
99	1122	10099
100	1132	10077
101	1144	10072
102	1153	10044
103	1164	10033
104	1173	10006
105	1185	10001
106	1197	9993
107	1208	9980
108	1218	9964
109	1228	9941
110	1240	9935
111	1251	9924
112	1262	9913
113	1274	9905
114	1284	9885
115	1293	9859
116	1306	9856
117	1318	9853
118	1330	9851
119	1343	9855
120	1357	9861
121	1369	9853
122	1379	9834
123	1391	9827
124	1405	9840
125	1418	9837
126	1428	9816
127	1441	9821
128	1454	9820
129	1466	9816
130	1480	9817
131	1495	9833
132	1507	9825
133	1539	9952
134	1550	9936
135	1560	9913
136	1572	9905
137	1585	9903
138	1594	9879
139	1604	9854
140	1613	9830
141	1623	9809
142	1634	9794
143	1645	9782
144	1656	9769
145	1665	9744
146	1676	9728
147	1686	9709
148	1698	9698
149	1707	9675
150	1718	9662
151	1729	9650
152	1741	9643
153	1753	9633
154	1763	9614
155	1773	9593
156	1785	9589
157	1798	9583
158	1809	9568
159	1818	9547
160	1830	9537
161	1840	9518
162	1852	9511
163	1864	9502
164	1874	9486
165	1883	9464
166	1895	9456
167	1908	9451
168	1917	9429
169	1928	9415
170	1940	9407
171	1950	9390
172	1962	9383
173	1975	9376
174	1984	9356
175	1993	9335
